Set type     : skip list
Duration     : 5000
Initial size : 4096
Nb threads   : 4
Value range  : 8192
Seed         : 0
Update rate  : 100
Elasticity   : 4
Alternate    : 0
Efffective   : 0
Type sizes   : int=4/long=8/ptr=8/word=8
_init_set_subsystem() done
Initializing STM
Adding 4096 entries to set
i = 4096
Set size     : 4096
Level max    : 12
Creating thread 0
Creating thread 1
Creating thread 2
Creating thread 3
STARTING...
STOPPING...
Set size      : 4096 (expected: 4096)
Duration      : 5000 (ms)
#txs          : 26444603 (5288920.600000 / s)
#read txs     : 0 (0.000000 / s)
#eff. upd rate: 49.996712 
#update txs   : 26444603 (5288920.600000 / s)
#aborts       : 0 (0.000000 / s)
  #lock-r     : 0 (0.000000 / s)
  #lock-w     : 0 (0.000000 / s)
  #val-r      : 0 (0.000000 / s)
  #val-w      : 0 (0.000000 / s)
  #val-c      : 0 (0.000000 / s)
  #inv-mem    : 0 (0.000000 / s)
  #dup-w      : 0 (0.000000 / s)
  #failures   : 0
Max retries   : 0
Nodes at level 18 = 1
Nodes at level 17 = 1
Nodes at level 16 = 1
Nodes at level 15 = 1
Nodes at level 14 = 1
Nodes at level 13 = 1
Nodes at level 12 = 1
Nodes at level 11 = 1
Nodes at level 10 = 1
Nodes at level 9 = 3
Nodes at level 8 = 11
Nodes at level 7 = 21
Nodes at level 6 = 38
Nodes at level 5 = 73
Nodes at level 4 = 137
Nodes at level 3 = 265
Nodes at level 2 = 498
Nodes at level 1 = 1007
Nodes at level 0 = 2012
Nodes at level -1 = 4097
